"","Entity","MarriageRate","FirstMarriageAge","Schoolingyear","Medianage","GDPpercapita","GDPgrowth","Mental_Disorders"
"1","Albania",7.79285714285714,24.0400002,9.32777777777778,32.1409090909091,10137.723656064,4.3145432983126,11.6135
"2","Algeria",9.0500001905,29.133334,7.10555555555556,24.85,10724.7613932292,1.1450594188202,14.7905
"3","Argentina",3.03333335444444,24.6,9.42777777777778,28.9545454545455,21392.5932849702,0.367427769161406,13.68
"4","Armenia",5.49090909090909,23.4750005,11.1277777777778,31.3954545454545,9326.24995349702,6.13209197067079,11.449
"5","Australia",5.31111111111111,27.8000000555556,12.2666666666667,35.8772727272727,44672.384672619,1.29175274641741,19.0775
"6","Austria",4.58333333333333,29.0384615384615,10.9722222222222,40.5045454545455,51505.5669642857,0.699286404110137,15.7135
"7","Azerbaijan",8.42142857142857,24.2571427142857,10.6222222222222,27.6181818181818,11214.178687686,6.94941607366006,10.609
"8","Bahamas",6.600000143,27.65,10.9722222222222,28.9,37726.5637090774,-1.08694453559638,14.02
"9","Bahrain",6.400000095,26.5999995,8.66111111111111,28.6818181818182,46597.1077008929,-0.757548432265009,14.763
"10","Bangladesh",12.75,18.7333336666667,4.81111111111111,22.6818181818182,3080.98575265067,4.65595546222868,12.263
"11","Barbados",14.10000038,31.9,9.67777777777778,35.75,15452.3327752976,-0.530581045008841,14.2285
"12","Belarus",8.07857142857143,24.6,10.85,38.0181818181818,15317.861328125,4.62042807255472,12.861
"13","Belgium",3.98333333333333,28.3250000833333,11.0055555555556,39.7727272727273,47640.8666294643,0.78278641314024,14.9045
"14","Belize",6.25,24.8,10.3722222222222,21.4363636363636,7164.49000186012,0.163606468765508,14.2265
"15","Bolivia",2.3000000715,22.92500025,7.80555555555556,21.5318181818182,6830.94249906994,1.85315605430376,15.126
"16","Bosnia and Herzegovina",5.48181818181818,24.6000003333333,7.90555555555556,37.5,11095.1728980655,3.75061204887572,11.7635
"17","Brazil",4.53333330133333,23.5,6.76666666666667,28.4454545454545,13857.306687128,1.10126056610828,17.435
"18","Brunei",5.9000000955,26.1,8.68888888888889,26.7318181818182,66981.1908482143,-0.439382672309876,10.277
"19","Bulgaria",3.71666666666667,25.9823530588235,10.6166666666667,41.4272727272727,17514.8205450149,3.96624594195081,11.2785
"20","Canada",4.65555555555556,28.377778,12.3722222222222,38.5227272727273,44385.310639881,1.24376754533677,14.431
"21","Chile",3.59411764705882,28.3176470588235,9.7,31.6545454545455,21145.8463541667,2.15902030680861,15.463
"22","China",8.34,24.52499975,7.14444444444444,33.8363636363636,9217.59402901786,8.08211585453578,11.5175
"23","Costa Rica",5.72777777777778,24.9545455454545,8.28888888888889,28.4272727272727,16827.1087239583,2.30866643360683,12.8565
"24","Croatia",5.00555555555556,26.8588233529412,10.4333333333333,40.8863636363636,24461.8737909226,2.12973666758764,11.712
"25","Cyprus",8.46666666666667,27.3571425714286,11.1944444444444,33.4954545454545,36964.5256696429,1.08398365690595,15.6355
"26","Czechia",4.82777777777778,27.2388887777778,12.0611111111111,39.1954545454545,33218.7192150298,2.33885172577131,11.26
"27","Denmark",6.04444444444444,31.2055556666667,12.5222222222222,39.5636363636364,52232.5107886905,0.811181762033985,14.1755
"28","Dominican Republic",4.149999857,21.18,7.22222222222222,24.1045454545455,13001.3238932292,3.11688653769947,15.0205
