"","Entity","MarriageRate","FirstMarriageAge","Schoolingyear","Medianage","GDPpercapita","GDPgrowth","Mental_Disorders"
"55","Latvia",5.45555555555556,26.943749875,11.9888888888889,40.5090909090909,23032.7606491815,4.57553243637085,12.7885
"56","Lebanon",7.299999952,27.8499995,8.08461538461538,26.7,15808.367094494,-0.901204158951129,16.963
"57","Lithuania",6.36111111111111,25.8823527058824,11.8944444444444,39.9136363636364,25873.7710658482,5.15965376510507,13.457
"58","Luxembourg",3.83888888888889,29.6235294117647,11.4944444444444,37.7272727272727,111598.68266369,0.891195004007646,15.031
"59","Maldives",14.200000285,22.1499995,4.57777777777778,23.9363636363636,15935.3507719494,0.5093765939985,11.3495
"60","Malta",6.2,28.124999875,9.93888888888889,38.4,33983.7613467262,2.75902111704151,15.6455
"61","Mauritius",9.150000095,23.25,7.88888888888889,32.0636363636364,16845.6941034226,2.80509819870903,12.222
"62","Mexico",5.3,26.5499998333333,7.91111111111111,25.2272727272727,18352.9906063988,0.235782097936386,12.0695
"63","Moldova",7.36363636363636,21.9,10.7333333333333,33.5227272727273,8846.36311848958,4.51237076946667,13.086
"64","Mongolia",10.7999999525,22.6833331666667,9.21111111111111,24.2818181818182,8310.6587844122,4.75890645952452,11.3785
"65","Montenegro",5.74166666666667,26.6500005,10.96,35.2363636363636,16499.0612444196,2.13752320834569,11.72
"66","Netherlands",4.39444444444444,29.7062498125,11.7555555555556,39.6363636363636,51821.8949032738,0.833349799826032,16.383
"67","New Zealand",4.87777777777778,28.2555558333333,11.9277777777778,35.4318181818182,38624.8707217262,1.38451801364621,18.973
"68","Nicaragua",4,20.8,5.88333333333333,21.1545454545455,4853.08571661086,1.53575736568088,13.2305
"69","North Macedonia",6.96111111111111,25.5,8.54444444444444,34.7454545454545,13236.8473307292,2.36597100893656,11.4605
"70","Norway",4.7,30.7399999333333,12.5,37.6136363636364,61825.7581845238,0.637960406286376,15.966
"71","Palestine",7.5,22.5400004,8.52142857142857,17.1409090909091,5275.25180199033,0.646541087400346,18.798
"72","Panama",3.299999952,21.75,9.28333333333333,26.0590909090909,22243.9624720982,2.91867463503565,12.0735
"73","Paraguay",3.25,22.700001,7.42777777777778,22.2318181818182,10309.5138346354,1.63689525780224,15.63
"74","Philippines",6.5499999525,23.325,8.74444444444445,22.05,6217.17736235119,2.96673762301604,12.0305
"75","Poland",5.47777777777778,25.7944444444444,11.7777777777778,37.3409090909091,23910.5860770089,3.63000556968507,10.5495
"76","Portugal",4.13888888888889,27.4588237058824,7.98333333333333,40.8318181818182,31543.5753348214,0.426880805265336,18.71
"77","Qatar",3.5500000715,25.799999,9.02777777777778,30.0181818181818,91977.6584821429,-0.00446918345987796,13.6235
"78","Romania",6.41111111111111,25.5529412352941,10.4444444444444,38.0409090909091,20866.681640625,4.43834283238366,11.168
"79","Russia",8.1875,24.4,11.5833333333333,37.0909090909091,22861.1086774554,3.46441050556799,11.432
"80","Saint Vincent and the Grenadines",5.2999999525,21.200001,8.16666666666667,28.2045454545455,11261.3353794643,1.70874018541404,14.306
"81","Samoa",5.700000048,23.97499925,9.75,19.3818181818182,5967.2843656994,1.74369920861153,11.605
"82","Saudi Arabia",4.899999857,26.2,8.35555555555556,25.6863636363636,44988.8448660714,0.479526835538092,13.5515
"83","Serbia",5.25555555555556,25.9,10.3222222222222,40.8136363636364,14107.240234375,3.83240903346311,11.418
"84","Seychelles",11.69999981,25.200001,8.30555555555556,29.1954545454545,22190.1608072917,1.3665853596869,10.8715
"85","Slovakia",4.96111111111111,26.6125,11.3944444444444,36.5590909090909,24513.0265531994,3.35411997919991,11.357
"86","Slovenia",3.25,28.8055555555556,11.8611111111111,40.2545454545455,32960.7593005952,1.87080422753379,11.8315
"87","South Africa",3.75,28,9.39444444444444,23.9227272727273,13104.6928478423,0.823452250588508,11.835
"88","Spain",4.18333333333333,30.6705882941176,9.16666666666667,39.7818181818182,37521.4912574405,0.478956326132729,17.977
"89","Sri Lanka",10.150000095,23.5999995,10.6277777777778,29.4181818181818,9380.12869698661,3.91432747386751,11.5745
"90","Suriname",4,22.75,7.95,25.7818181818182,17359.927641369,1.10180832587537,15.425
"91","Sweden",4.99411764705882,32.2294112941176,12.1722222222222,39.4,47546.3528645833,1.32932887758527,15.389
"92","Switzerland",5.25,29.5176471176471,12.6944444444444,40.2318181818182,65205.4391741071,0.875194880933989,16.9885
"93","Tajikistan",7.899999857,21.72500025,10.6333333333333,19.6318181818182,2460.19432431176,5.29320897374834,11.208
"94","Thailand",5.6500000955,24.5,7.17222222222222,34.6454545454545,14261.666108631,2.93986008564631,12.2625
"95","Tonga",7.349999905,25.2,10.1555555555556,20.2909090909091,5649.74962797619,1.16836157724971,11.512
"96","Trinidad and Tobago",6.200000048,28.6500005,10.3055555555556,30.6818181818182,25674.2614397321,2.07746684267407,14.453
"97","Tunisia",7.6500000955,28.450001,6.22777777777778,27.8136363636364,10064.4204799107,1.53084626607597,16.0365
"98","Turkey",8.22,24.05,6.67222222222222,27.2545454545455,21541.6494140625,3.28612229086104,14.6855
"99","Ukraine",6.85384615384615,23.3333333333333,11.0833333333333,38.6181818181818,11576.2181222098,2.96027025012743,12.558
"100","United Arab Emirates",3.200000048,25.299999,9.61666666666667,28.1863636363636,74380.5558035714,-1.87638302005473,12.4245
"101","United Kingdom",4.60666665393333,29.700000125,12.5333333333333,38.3363636363636,43180.962983631,0.638165735063099,14.9695
"102","United States",7.23684218063158,26.0499997777778,13.0555555555556,35.9727272727273,55692.9944196429,1.01149418142935,17.219
"103","Uruguay",3.850000024,24,8.30555555555556,33.0272727272727,18540.6604817708,1.89920409839778,14.0215
"104","Uzbekistan",6.850000143,21.8666666666667,10.3944444444444,23.5818181818182,5037.02233305432,4.5362098607279,10.8145
"105","Vietnam",11.80000019,22.8555552222222,7.03888888888889,27.7227272727273,5265.77067057292,5.25883522487822,9.625
